test with interval of 512
Linux 3.16.0-34-generic (compute1) 	05/12/2015 	_x86_64_	(1 CPU)

05:38:00 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:39:51 PM     all      0.00      0.00      5.62      0.00      0.00     94.38
05:39:52 PM     all      8.89      0.00      4.44      0.00      0.00     86.67
05:39:53 PM     all      0.00      0.00      3.45      0.00      0.00     96.55
05:39:54 PM     all      7.78      0.00      7.78      0.00      0.00     84.44
05:39:55 PM     all      1.12      0.00      3.37      0.00      0.00     95.51
05:39:56 PM     all     17.39      0.00      8.70      4.35      0.00     69.57
05:39:57 PM     all      2.20      0.00      3.30      0.00      0.00     94.51
05:39:58 PM     all      7.78      0.00      5.56      0.00      0.00     86.67
05:39:59 PM     all      1.10      0.00      4.40      0.00      0.00     94.51
05:40:00 PM     all     12.05      0.00      7.23      0.00      0.00     80.72
05:40:01 PM     all      1.12      0.00      2.25      0.00      0.00     96.63
05:40:02 PM     all     13.04      0.00      8.70      0.00      0.00     78.26
05:40:03 PM     all      2.22      0.00      3.33      0.00      0.00     94.44
05:40:04 PM     all      6.52      0.00      6.52      0.00      0.00     86.96
05:40:05 PM     all      4.44      0.00      2.22      0.00      0.00     93.33
05:40:06 PM     all      6.52      0.00      8.70      0.00      0.00     84.78
05:40:07 PM     all      1.11      0.00      3.33      0.00      0.00     95.56
05:40:08 PM     all     10.87      0.00      6.52      0.00      0.00     82.61
05:40:09 PM     all      0.00      0.00      1.14      0.00      0.00     98.86
05:40:10 PM     all      6.67      0.00      7.78      0.00      0.00     85.56
05:40:11 PM     all      4.65      0.00      5.81      0.00      0.00     89.53
05:40:12 PM     all      6.82      0.00      6.82      0.00      0.00     86.36
05:40:13 PM     all      3.26      0.00      2.17      0.00      0.00     94.57
05:40:14 PM     all      8.70      0.00      6.52      0.00      0.00     84.78
05:40:15 PM     all      1.14      0.00      1.14      0.00      0.00     97.73
05:40:16 PM     all      6.67      0.00      6.67      0.00      0.00     86.67
05:40:17 PM     all      0.00      0.00      2.25      0.00      0.00     97.75
05:40:19 PM     all      3.52      0.00      4.85      0.00      0.00     91.63
05:40:20 PM     all      6.59      0.00      5.49      0.00      0.00     87.91
05:40:21 PM     all      2.17      0.00      4.35      1.09      0.00     92.39
05:40:22 PM     all      6.59      0.00      6.59      0.00      0.00     86.81
05:40:23 PM     all      1.11      0.00      4.44      0.00      0.00     94.44
05:40:24 PM     all      3.23      0.00      7.53      0.00      0.00     89.25
05:40:25 PM     all     13.98      0.00      9.68      0.00      0.00     76.34
05:40:26 PM     all     11.96      0.00      8.70      0.00      0.00     79.35
05:40:27 PM     all      2.22      0.00      5.56      0.00      0.00     92.22
05:40:28 PM     all      6.67      0.00      4.44      0.00      0.00     88.89
05:40:29 PM     all      0.00      0.00      5.62      0.00      0.00     94.38
05:40:30 PM     all      5.62      0.00      5.62      0.00      0.00     88.76
05:40:31 PM     all      1.12      0.00      4.49      0.00      0.00     94.38
05:40:32 PM     all      5.56      0.00      5.56      0.00      0.00     88.89
05:40:33 PM     all      2.25      0.00      4.49      0.00      0.00     93.26
05:40:34 PM     all      6.59      0.00      3.30      0.00      0.00     90.11
05:40:35 PM     all      3.33      0.00      5.56      0.00      0.00     91.11
05:40:36 PM     all      5.56      0.00      3.33      0.00      0.00     91.11
05:40:37 PM     all      2.25      0.00      6.74      0.00      0.00     91.01
05:40:38 PM     all      5.68      0.00      2.27      0.00      0.00     92.05
05:40:39 PM     all      1.12      0.00      6.74      0.00      0.00     92.13
05:40:40 PM     all      5.56      0.00      4.44      0.00      0.00     90.00
05:40:41 PM     all      2.17      0.00      7.61      0.00      0.00     90.22
05:40:42 PM     all      5.56      0.00      4.44      0.00      0.00     90.00
05:40:43 PM     all      3.26      0.00      4.35      0.00      0.00     92.39
05:40:44 PM     all      3.41      0.00      3.41      0.00      0.00     93.18
05:40:45 PM     all      2.20      0.00      5.49      0.00      0.00     92.31
05:40:46 PM     all      4.49      0.00      4.49      0.00      0.00     91.01
05:40:47 PM     all      5.32      0.00      7.45      0.00      0.00     87.23
05:40:48 PM     all      4.49      0.00      3.37      0.00      0.00     92.13
05:40:49 PM     all      2.20      0.00      5.49      0.00      0.00     92.31
05:40:50 PM     all      7.78      0.00      3.33      0.00      0.00     88.89
05:40:51 PM     all      2.17      0.00      6.52      0.00      0.00     91.30
05:40:52 PM     all      6.74      0.00      4.49      0.00      0.00     88.76
05:40:53 PM     all      1.10      0.00      7.69      0.00      0.00     91.21
05:40:54 PM     all      5.56      0.00      5.56      0.00      0.00     88.89
05:40:55 PM     all      3.33      0.00      5.56      0.00      0.00     91.11
05:40:56 PM     all     14.13      0.00      8.70      3.26      0.00     73.91
05:40:57 PM     all      4.44      0.00      6.67      0.00      0.00     88.89
05:40:58 PM     all      3.33      0.00      7.78      0.00      0.00     88.89
05:40:59 PM     all      3.37      0.00      6.74      0.00      0.00     89.89
05:41:00 PM     all      3.37      0.00      6.74      0.00      0.00     89.89
05:41:01 PM     all      2.20      0.00      6.59      0.00      0.00     91.21
05:41:02 PM     all      4.40      0.00      4.40      0.00      0.00     91.21
05:41:03 PM     all      2.17      0.00      6.52      0.00      0.00     91.30
05:41:04 PM     all      5.56      0.00      2.22      0.00      0.00     92.22
05:41:05 PM     all      4.40      0.00      5.49      0.00      0.00     90.11
05:41:06 PM     all      8.79      0.00      5.49      0.00      0.00     85.71
05:41:07 PM     all      5.38      0.00      4.30      0.00      0.00     90.32
05:41:08 PM     all      6.67      0.00      4.44      0.00      0.00     88.89
05:41:09 PM     all      3.33      0.00      6.67      0.00      0.00     90.00
05:41:10 PM     all      3.37      0.00      5.62      0.00      0.00     91.01
05:41:11 PM     all      2.22      0.00      6.67      0.00      0.00     91.11
05:41:12 PM     all      5.56      0.00      3.33      0.00      0.00     91.11
05:41:13 PM     all      5.26      0.00      6.32      0.00      0.00     88.42
05:41:14 PM     all      4.49      0.00      2.25      0.00      0.00     93.26
05:41:15 PM     all      3.30      0.00      6.59      0.00      0.00     90.11
05:41:16 PM     all      4.44      0.00      2.22      0.00      0.00     93.33
05:41:17 PM     all      3.26      0.00      7.61      0.00      0.00     89.13
05:41:18 PM     all      5.56      0.00      4.44      0.00      0.00     90.00
05:41:19 PM     all      3.33      0.00      8.89      0.00      0.00     87.78
05:41:20 PM     all      5.62      0.00      4.49      0.00      0.00     89.89
05:41:21 PM     all      3.26      0.00      5.43      0.00      0.00     91.30
05:41:22 PM     all      4.55      0.00      3.41      0.00      0.00     92.05
05:41:23 PM     all      3.30      0.00      6.59      0.00      0.00     90.11
05:41:24 PM     all      3.33      0.00      6.67      0.00      0.00     90.00
05:41:25 PM     all     17.20      0.00      9.68      0.00      0.00     73.12
05:41:26 PM     all      7.69      0.00      6.59      0.00      0.00     85.71
05:41:27 PM     all      2.20      0.00      8.79      0.00      0.00     89.01
05:41:28 PM     all      5.49      0.00      5.49      0.00      0.00     89.01
05:41:29 PM     all      4.30      0.00      7.53      0.00      0.00     88.17
05:41:30 PM     all      5.43      0.00      6.52      0.00      0.00     88.04
05:41:31 PM     all      2.22      0.00      6.67      0.00      0.00     91.11
05:41:32 PM     all      4.35      0.00      6.52      0.00      0.00     89.13
05:41:33 PM     all      3.30      0.00      6.59      0.00      0.00     90.11
05:41:34 PM     all      4.40      0.00      5.49      0.00      0.00     90.11
05:41:35 PM     all      3.26      0.00      3.26      0.00      0.00     93.48
05:41:36 PM     all      3.30      0.00      3.30      0.00      0.00     93.41
05:41:37 PM     all      2.20      0.00      8.79      0.00      0.00     89.01
05:41:38 PM     all      5.56      0.00      4.44      0.00      0.00     90.00
05:41:39 PM     all      5.43      0.00      6.52      0.00      0.00     88.04
05:41:40 PM     all      3.33      0.00      5.56      0.00      0.00     91.11
05:41:41 PM     all      1.10      0.00      8.79      0.00      0.00     90.11
05:41:42 PM     all      4.55      0.00      4.55      0.00      0.00     90.91
05:41:43 PM     all      3.23      0.00      6.45      0.00      0.00     90.32
05:41:44 PM     all      5.56      0.00      3.33      0.00      0.00     91.11
05:41:45 PM     all      4.35      0.00      4.35      0.00      0.00     91.30
05:41:46 PM     all      2.25      0.00      2.25      0.00      0.00     95.51
05:41:47 PM     all      4.30      0.00      6.45      0.00      0.00     89.25
05:41:48 PM     all      2.25      0.00      4.49      0.00      0.00     93.26
05:41:49 PM     all      4.40      0.00      6.59      0.00      0.00     89.01
05:41:50 PM     all      2.27      0.00      3.41      0.00      0.00     94.32
05:41:51 PM     all      3.26      0.00      5.43      0.00      0.00     91.30
05:41:52 PM     all      4.49      0.00      4.49      0.00      0.00     91.01
05:41:53 PM     all      3.30      0.00      5.49      0.00      0.00     91.21
05:41:54 PM     all      5.62      0.00      4.49      0.00      0.00     89.89
05:41:55 PM     all      4.49      0.00      5.62      0.00      0.00     89.89
05:41:56 PM     all     12.22      0.00      8.89      3.33      0.00     75.56
05:41:57 PM     all      3.37      0.00      6.74      0.00      0.00     89.89
05:41:58 PM     all      5.43      0.00      5.43      0.00      0.00     89.13
05:41:59 PM     all      4.49      0.00      4.49      0.00      0.00     91.01
05:42:00 PM     all      5.62      0.00      4.49      0.00      0.00     89.89
05:42:01 PM     all      4.44      0.00      4.44      0.00      0.00     91.11
05:42:02 PM     all      3.30      0.00      3.30      0.00      0.00     93.41
05:42:03 PM     all      4.44      0.00      3.33      0.00      0.00     92.22
05:42:04 PM     all      4.49      0.00      2.25      0.00      0.00     93.26
05:42:05 PM     all      4.49      0.00      5.62      0.00      0.00     89.89
05:42:06 PM     all      5.49      0.00      3.30      0.00      0.00     91.21
05:42:07 PM     all      2.20      0.00      8.79      0.00      0.00     89.01
05:42:08 PM     all      7.78      0.00      3.33      0.00      0.00     88.89
05:42:09 PM     all      4.44      0.00      4.44      0.00      0.00     91.11
05:42:10 PM     all      5.49      0.00      3.30      0.00      0.00     91.21
05:42:11 PM     all      2.22      0.00      5.56      0.00      0.00     92.22
05:42:12 PM     all      3.33      0.00      7.78      0.00      0.00     88.89
05:42:13 PM     all      3.30      0.00      6.59      0.00      0.00     90.11
05:42:14 PM     all      5.62      0.00      3.37      0.00      0.00     91.01
05:42:15 PM     all      4.49      0.00      4.49      0.00      0.00     91.01
05:42:16 PM     all      3.41      0.00      4.55      0.00      0.00     92.05
05:42:17 PM     all      2.20      0.00      8.79      0.00      0.00     89.01
05:42:18 PM     all      5.43      0.00      4.35      0.00      0.00     90.22
05:42:19 PM     all      2.27      0.00      5.68      0.00      0.00     92.05
05:42:20 PM     all      5.56      0.00      3.33      0.00      0.00     91.11
05:42:21 PM     all      3.26      0.00      6.52      0.00      0.00     90.22
05:42:22 PM     all      4.44      0.00      3.33      0.00      0.00     92.22
05:42:23 PM     all      3.26      0.00      7.61      0.00      0.00     89.13
05:42:24 PM     all      5.56      0.00      3.33      0.00      0.00     91.11
05:42:25 PM     all      3.30      0.00      7.69      0.00      0.00     89.01
05:42:26 PM     all      3.33      0.00      4.44      0.00      0.00     92.22
05:42:27 PM     all     19.78      0.00     10.99      0.00      0.00     69.23
05:42:28 PM     all      8.70      0.00      7.61      0.00      0.00     83.70
05:42:29 PM     all      3.30      0.00      7.69      0.00      0.00     89.01
05:42:30 PM     all      4.49      0.00      4.49      0.00      0.00     91.01
05:42:31 PM     all      2.25      0.00      5.62      0.00      0.00     92.13
05:42:32 PM     all      3.33      0.00      3.33      0.00      0.00     93.33
05:42:33 PM     all      5.43      0.00      4.35      0.00      0.00     90.22
05:42:34 PM     all      4.40      0.00      4.40      0.00      0.00     91.21
05:42:35 PM     all      3.33      0.00      5.56      0.00      0.00     91.11
05:42:36 PM     all      4.40      0.00      3.30      0.00      0.00     92.31
05:42:37 PM     all      4.40      0.00      7.69      0.00      0.00     87.91
05:42:38 PM     all      4.40      0.00      5.49      0.00      0.00     90.11
05:42:39 PM     all      4.44      0.00      5.56      0.00      0.00     90.00
05:42:40 PM     all      5.43      0.00      2.17      0.00      0.00     92.39
05:42:41 PM     all      2.17      0.00      8.70      0.00      0.00     89.13
05:42:42 PM     all      4.44      0.00      4.44      0.00      0.00     91.11
05:42:43 PM     all      3.30      0.00      6.59      0.00      0.00     90.11
05:42:44 PM     all      3.45      0.00      3.45      0.00      0.00     93.10
05:42:45 PM     all      3.37      0.00      5.62      0.00      0.00     91.01
05:42:46 PM     all      3.30      0.00      5.49      0.00      0.00     91.21
05:42:47 PM     all      5.49      0.00      6.59      0.00      0.00     87.91
05:42:48 PM     all      3.37      0.00      2.25      0.00      0.00     94.38
05:42:49 PM     all      4.35      0.00      6.52      0.00      0.00     89.13
05:42:50 PM     all      2.27      0.00      2.27      0.00      0.00     95.45
05:42:51 PM     all      2.22      0.00      6.67      0.00      0.00     91.11
05:42:52 PM     all      4.44      0.00      5.56      0.00      0.00     90.00
05:42:53 PM     all      3.26      0.00      7.61      0.00      0.00     89.13
05:42:54 PM     all      4.49      0.00      4.49      0.00      0.00     91.01
05:42:55 PM     all      3.33      0.00      7.78      0.00      0.00     88.89
05:42:56 PM     all      8.70      0.00      6.52      3.26      0.00     81.52
05:42:57 PM     all      5.62      0.00      5.62      0.00      0.00     88.76
05:42:58 PM     all      4.44      0.00      4.44      0.00      0.00     91.11
05:42:59 PM     all      6.45      0.00      5.38      0.00      0.00     88.17
05:43:00 PM     all      4.49      0.00      2.25      0.00      0.00     93.26
05:43:01 PM     all      3.30      0.00      6.59      0.00      0.00     90.11
05:43:02 PM     all      3.41      0.00      4.55      0.00      0.00     92.05
05:43:03 PM     all      3.30      0.00      5.49      0.00      0.00     91.21
05:43:04 PM     all      4.49      0.00      3.37      0.00      0.00     92.13
05:43:05 PM     all      4.49      0.00      5.62      0.00      0.00     89.89
05:43:06 PM     all      3.37      0.00      3.37      0.00      0.00     93.26
05:43:07 PM     all      4.30      0.00      8.60      0.00      0.00     87.10
05:43:08 PM     all      2.25      0.00      4.49      0.00      0.00     93.26
05:43:09 PM     all      7.78      0.00      6.67      0.00      0.00     85.56
05:43:10 PM     all      2.27      0.00      4.55      0.00      0.00     93.18
05:43:11 PM     all      2.22      0.00      7.78      0.00      0.00     90.00
05:43:12 PM     all      5.56      0.00      3.33      0.00      0.00     91.11
05:43:13 PM     all      4.40      0.00      5.49      0.00      0.00     90.11
05:43:14 PM     all      2.20      0.00      3.30      0.00      0.00     94.51
05:43:15 PM     all      1.08      0.00      4.30      0.00      0.00     94.62
05:43:16 PM     all      3.37      0.00      2.25      0.00      0.00     94.38
05:43:17 PM     all      4.40      0.00      7.69      0.00      0.00     87.91
05:43:18 PM     all      2.25      0.00      5.62      0.00      0.00     92.13
05:43:19 PM     all      4.35      0.00      7.61      0.00      0.00     88.04
05:43:20 PM     all      3.30      0.00      3.30      0.00      0.00     93.41
05:43:21 PM     all      1.11      0.00      8.89      0.00      0.00     90.00
05:43:22 PM     all      6.67      0.00      4.44      0.00      0.00     88.89
05:43:23 PM     all      2.20      0.00      5.49      0.00      0.00     92.31
05:43:24 PM     all      4.40      0.00      4.40      0.00      0.00     91.21
05:43:25 PM     all      3.30      0.00      5.49      0.00      0.00     91.21
05:43:26 PM     all      5.49      0.00      4.40      0.00      0.00     90.11
05:43:27 PM     all      5.62      0.00      5.62      0.00      0.00     88.76
05:43:28 PM     all      4.40      0.00      4.40      0.00      0.00     91.21
05:43:29 PM     all     23.08      0.00     12.09      0.00      0.00     64.84
05:43:30 PM     all      6.90      0.00      5.75      0.00      0.00     87.36
05:43:31 PM     all      3.26      0.00      6.52      0.00      0.00     90.22
05:43:32 PM     all      3.33      0.00      3.33      0.00      0.00     93.33
05:43:33 PM     all      3.33      0.00      5.56      0.00      0.00     91.11
05:43:34 PM     all      6.67      0.00      2.22      0.00      0.00     91.11
05:43:35 PM     all      3.37      0.00      3.37      0.00      0.00     93.26
05:43:36 PM     all      2.22      0.00      4.44      0.00      0.00     93.33
05:43:37 PM     all      2.22      0.00      7.78      0.00      0.00     90.00
05:43:38 PM     all      4.44      0.00      3.33      0.00      0.00     92.22
05:43:39 PM     all      4.35      0.00      6.52      0.00      0.00     89.13
05:43:40 PM     all      3.33      0.00      3.33      0.00      0.00     93.33
05:43:41 PM     all      1.11      0.00      7.78      0.00      0.00     91.11
05:43:42 PM     all      5.62      0.00      3.37      0.00      0.00     91.01
05:43:43 PM     all      3.33      0.00      5.56      0.00      0.00     91.11
05:43:44 PM     all      5.56      0.00      6.67      0.00      0.00     87.78
05:43:45 PM     all      1.11      0.00      8.89      0.00      0.00     90.00
05:43:46 PM     all      4.44      0.00      4.44      0.00      0.00     91.11
05:43:47 PM     all      5.56      0.00      6.67      0.00      0.00     87.78
05:43:48 PM     all      3.41      0.00      3.41      0.00      0.00     93.18
05:43:49 PM     all      5.56      0.00      5.56      0.00      0.00     88.89
05:43:50 PM     all      2.25      0.00      4.49      0.00      0.00     93.26
05:43:51 PM     all      2.22      0.00      6.67      0.00      0.00     91.11
05:43:52 PM     all      2.22      0.00      5.56      0.00      0.00     92.22
05:43:53 PM     all      2.22      0.00      7.78      0.00      0.00     90.00
05:43:54 PM     all      4.44      0.00      4.44      0.00      0.00     91.11
05:43:55 PM     all      3.30      0.00      6.59      0.00      0.00     90.11
05:43:56 PM     all     14.29      0.00      4.40      1.10      0.00     80.22
05:43:57 PM     all      3.30      0.00      7.69      0.00      0.00     89.01
05:43:58 PM     all      4.44      0.00      3.33      0.00      0.00     92.22
05:43:59 PM     all      2.22      0.00      6.67      0.00      0.00     91.11
05:44:00 PM     all      4.49      0.00      3.37      0.00      0.00     92.13
05:44:01 PM     all      4.40      0.00      6.59      0.00      0.00     89.01
05:44:02 PM     all      2.17      0.00      2.17      0.00      0.00     95.65
05:44:03 PM     all      4.44      0.00      2.22      0.00      0.00     93.33
05:44:04 PM     all      2.25      0.00      4.49      0.00      0.00     93.26
05:44:05 PM     all      3.33      0.00      5.56      0.00      0.00     91.11
05:44:06 PM     all      4.40      0.00      4.40      0.00      0.00     91.21
05:44:07 PM     all      5.43      0.00      6.52      0.00      0.00     88.04
05:44:08 PM     all      4.60      0.00      4.60      0.00      0.00     90.80
05:44:09 PM     all      5.43      0.00      8.70      1.09      0.00     84.78
05:44:10 PM     all      2.22      0.00      4.44      0.00      0.00     93.33
05:44:11 PM     all      4.40      0.00      4.40      0.00      0.00     91.21
05:44:12 PM     all      5.43      0.00      5.43      0.00      0.00     89.13
05:44:13 PM     all      4.35      0.00      5.43      0.00      0.00     90.22
05:44:14 PM     all      2.27      0.00      6.82      0.00      0.00     90.91
05:44:15 PM     all      4.44      0.00      3.33      0.00      0.00     92.22
05:44:16 PM     all      4.40      0.00      3.30      0.00      0.00     92.31
05:44:17 PM     all      5.38      0.00      6.45      0.00      0.00     88.17
05:44:18 PM     all      4.44      0.00      3.33      0.00      0.00     92.22
05:44:19 PM     all      5.49      0.00      5.49      0.00      0.00     89.01
05:44:20 PM     all      2.20      0.00      3.30      0.00      0.00     94.51
05:44:21 PM     all      4.35      0.00      5.43      0.00      0.00     90.22
05:44:22 PM     all      5.49      0.00      3.30      0.00      0.00     91.21
05:44:23 PM     all      3.33      0.00      5.56      0.00      0.00     91.11
05:44:24 PM     all      3.30      0.00      4.40      0.00      0.00     92.31
05:44:25 PM     all      5.38      0.00      6.45      0.00      0.00     88.17
05:44:26 PM     all      3.41      0.00      4.55      0.00      0.00     92.05
05:44:27 PM     all      5.43      0.00      6.52      0.00      0.00     88.04
05:44:28 PM     all      2.27      0.00      4.55      0.00      0.00     93.18
05:44:29 PM     all      3.41      0.00      4.55      0.00      0.00     92.05
05:44:30 PM     all      2.17      0.00      4.35      0.00      0.00     93.48
05:44:31 PM     all     22.58      0.00     12.90      0.00      0.00     64.52
05:44:32 PM     all      5.49      0.00      3.30      0.00      0.00     91.21
05:44:33 PM     all      3.26      0.00      5.43      0.00      0.00     91.30
05:44:34 PM     all      4.49      0.00      2.25      0.00      0.00     93.26
05:44:35 PM     all      4.40      0.00      4.40      0.00      0.00     91.21
05:44:36 PM     all      3.37      0.00      3.37      0.00      0.00     93.26
