test with interval of 512
Linux 3.16.0-34-generic (compute1) 	05/12/2015 	_x86_64_	(1 CPU)

05:38:00 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:38:01 PM     all     70.42      0.00     29.58      0.00      0.00      0.00
05:38:02 PM     all     21.05      0.00     11.58      0.00      0.00     67.37
05:38:03 PM     all      9.09      0.00      6.82      0.00      0.00     84.09
05:38:04 PM     all      0.00      0.00      4.44      0.00      0.00     95.56
05:38:05 PM     all      8.70      0.00      8.70      0.00      0.00     82.61
05:38:06 PM     all      2.25      0.00      4.49      0.00      0.00     93.26
05:38:07 PM     all      6.52      0.00      8.70      0.00      0.00     84.78
05:38:08 PM     all      1.11      0.00      4.44      0.00      0.00     94.44
05:38:09 PM     all      5.49      0.00      8.79      0.00      0.00     85.71
05:38:10 PM     all      2.20      0.00      4.40      0.00      0.00     93.41
05:38:11 PM     all      6.82      0.00     10.23      0.00      0.00     82.95
05:38:12 PM     all      1.11      0.00      2.22      1.11      0.00     95.56
05:38:13 PM     all      5.49      0.00      8.79      0.00      0.00     85.71
05:38:15 PM     all      1.10      0.00      4.40      0.00      0.00     94.51
05:38:16 PM     all      4.49      0.00     11.24      0.00      0.00     84.27
05:38:17 PM     all      3.30      0.00      4.40      0.00      0.00     92.31
05:38:18 PM     all      7.78      0.00      7.78      0.00      0.00     84.44
05:38:19 PM     all      2.25      0.00      2.25      0.00      0.00     95.51
05:38:20 PM     all      7.78      0.00      5.56      0.00      0.00     86.67
05:38:21 PM     all      0.00      0.00      4.44      0.00      0.00     95.56
05:38:22 PM     all      7.87      0.00      8.99      0.00      0.00     83.15
05:38:23 PM     all      0.00      0.00      4.49      0.00      0.00     95.51
05:38:24 PM     all      6.59      0.00      6.59      0.00      0.00     86.81
05:38:25 PM     all     20.65      0.00     14.13      0.00      0.00     65.22
05:38:26 PM     all     10.99      0.00      6.59      0.00      0.00     82.42
05:38:27 PM     all      1.14      0.00      3.41      0.00      0.00     95.45
05:38:28 PM     all      7.61      0.00      9.78      0.00      0.00     82.61
05:38:29 PM     all      1.12      0.00      4.49      0.00      0.00     94.38
05:38:30 PM     all      6.45      0.00      9.68      0.00      0.00     83.87
05:38:31 PM     all      1.15      0.00      2.30      0.00      0.00     96.55
05:38:32 PM     all      5.49      0.00      7.69      0.00      0.00     86.81
05:38:33 PM     all      1.10      0.00      5.49      0.00      0.00     93.41
05:38:34 PM     all      6.82      0.00      7.95      0.00      0.00     85.23
05:38:35 PM     all      0.00      0.00      3.33      0.00      0.00     96.67
05:38:36 PM     all      7.87      0.00      4.49      0.00      0.00     87.64
05:38:37 PM     all      3.30      0.00      4.40      0.00      0.00     92.31
05:38:38 PM     all      6.59      0.00      8.79      0.00      0.00     84.62
05:38:39 PM     all      0.00      0.00      2.30      0.00      0.00     97.70
05:38:40 PM     all     10.00      0.00      6.67      0.00      0.00     83.33
05:38:41 PM     all      1.12      0.00      3.37      0.00      0.00     95.51
05:38:42 PM     all      6.74      0.00      8.99      0.00      0.00     84.27
05:38:43 PM     all      1.12      0.00      4.49      0.00      0.00     94.38
05:38:44 PM     all      8.99      0.00      6.74      0.00      0.00     84.27
05:38:45 PM     all      2.22      0.00      3.33      0.00      0.00     94.44
05:38:46 PM     all      5.81      0.00      6.98      0.00      0.00     87.21
05:38:47 PM     all      3.26      0.00      4.35      0.00      0.00     92.39
05:38:48 PM     all      7.61      0.00      7.61      0.00      0.00     84.78
05:38:49 PM     all      0.00      0.00      2.27      0.00      0.00     97.73
05:38:50 PM     all      6.59      0.00      7.69      0.00      0.00     85.71
05:38:51 PM     all      1.11      0.00      3.33      0.00      0.00     95.56
05:38:52 PM     all      5.62      0.00     10.11      0.00      0.00     84.27
05:38:53 PM     all      1.14      0.00      2.27      0.00      0.00     96.59
05:38:54 PM     all      7.78      0.00      6.67      0.00      0.00     85.56
05:38:55 PM     all      1.16      0.00      2.33      0.00      0.00     96.51
05:38:56 PM     all     14.13      0.00     14.13      4.35      0.00     67.39
05:38:57 PM     all      3.30      0.00      2.20      0.00      0.00     94.51
05:38:58 PM     all      6.59      0.00      7.69      0.00      0.00     85.71
05:38:59 PM     all      1.11      0.00      4.44      0.00      0.00     94.44
05:39:00 PM     all      9.78      0.00      6.52      0.00      0.00     83.70
05:39:01 PM     all      2.25      0.00      2.25      0.00      0.00     95.51
05:39:02 PM     all      5.43      0.00      8.70      0.00      0.00     85.87
05:39:03 PM     all      2.20      0.00      6.59      0.00      0.00     91.21
05:39:04 PM     all      6.82      0.00      5.68      0.00      0.00     87.50
05:39:05 PM     all      2.22      0.00      2.22      0.00      0.00     95.56
05:39:06 PM     all      5.49      0.00      6.59      0.00      0.00     87.91
05:39:07 PM     all      3.33      0.00      2.22      0.00      0.00     94.44
05:39:08 PM     all      6.67      0.00      6.67      0.00      0.00     86.67
05:39:09 PM     all      1.12      0.00      2.25      0.00      0.00     96.63
05:39:10 PM     all      8.79      0.00      8.79      0.00      0.00     82.42
05:39:11 PM     all      1.12      0.00      2.25      0.00      0.00     96.63
05:39:12 PM     all      9.89      0.00      6.59      0.00      0.00     83.52
05:39:13 PM     all      0.00      0.00      4.44      0.00      0.00     95.56
05:39:14 PM     all     10.11      0.00      4.49      0.00      0.00     85.39
05:39:15 PM     all      0.00      0.00      5.49      0.00      0.00     94.51
05:39:16 PM     all      7.78      0.00      7.78      0.00      0.00     84.44
05:39:17 PM     all      1.12      0.00      2.25      0.00      0.00     96.63
05:39:18 PM     all      6.82      0.00      6.82      0.00      0.00     86.36
05:39:19 PM     all      2.20      0.00      2.20      0.00      0.00     95.60
05:39:20 PM     all      8.99      0.00      5.62      0.00      0.00     85.39
05:39:21 PM     all      2.20      0.00      4.40      0.00      0.00     93.41
05:39:22 PM     all     10.11      0.00      6.74      0.00      0.00     83.15
05:39:23 PM     all      2.25      0.00      1.12      0.00      0.00     96.63
05:39:24 PM     all      5.56      0.00      8.89      0.00      0.00     85.56
05:39:25 PM     all      1.10      0.00      3.30      0.00      0.00     95.60
05:39:26 PM     all     28.57      0.00      8.79      0.00      0.00     62.64
05:39:27 PM     all      2.22      0.00      3.33      0.00      0.00     94.44
05:39:28 PM     all      9.78      0.00      7.61      0.00      0.00     82.61
05:39:29 PM     all      1.11      0.00      2.22      0.00      0.00     96.67
05:39:30 PM     all      7.69      0.00      6.59      1.10      0.00     84.62
05:39:31 PM     all      2.22      0.00      4.44      0.00      0.00     93.33
05:39:32 PM     all      8.89      0.00      6.67      0.00      0.00     84.44
05:39:33 PM     all      2.13      0.00      3.19      0.00      0.00     94.68
05:39:34 PM     all      6.59      0.00      4.40      0.00      0.00     89.01
05:39:35 PM     all      2.27      0.00      4.55      0.00      0.00     93.18
05:39:36 PM     all      6.59      0.00      5.49      0.00      0.00     87.91
05:39:37 PM     all      3.33      0.00      2.22      0.00      0.00     94.44
05:39:38 PM     all      5.68      0.00      5.68      0.00      0.00     88.64
05:39:39 PM     all      1.08      0.00      4.30      0.00      0.00     94.62
05:39:40 PM     all      6.67      0.00      7.78      0.00      0.00     85.56
05:39:41 PM     all      1.11      0.00      2.22      0.00      0.00     96.67
05:39:42 PM     all     10.99      0.00      7.69      0.00      0.00     81.32
05:39:43 PM     all      2.22      0.00      4.44      0.00      0.00     93.33
05:39:44 PM     all      7.78      0.00      5.56      0.00      0.00     86.67
05:39:45 PM     all      1.11      0.00      3.33      0.00      0.00     95.56
05:39:46 PM     all      7.78      0.00      6.67      0.00      0.00     85.56
05:39:47 PM     all      2.30      0.00      2.30      0.00      0.00     95.40
05:39:48 PM     all      5.49      0.00      7.69      0.00      0.00     86.81
05:39:49 PM     all      1.10      0.00      3.30      0.00      0.00     95.60
05:39:50 PM     all      7.78      0.00      6.67      0.00      0.00     85.56
